Date,Open,High,Low,Close,Date
2016-11-16,2177.530029,2179.219971,2172.199951,2176.939941,11/16/16
2016-11-15,2168.290039,2180.840088,2166.379883,2180.389893,11/15/16
2016-11-14,2165.639893,2171.360107,2156.080078,2164.199951,11/14/16
2016-11-11,2162.709961,2165.919922,2152.48999,2164.449951,11/11/16
2016-11-10,2167.48999,2182.300049,2151.169922,2167.47998,11/10/16
2016-11-09,2131.560059,2170.100098,2125.350098,2163.26001,11/9/16
2016-11-08,2129.919922,2146.870117,2123.560059,2139.560059,11/8/16
2016-11-07,2100.590088,2132,2100.590088,2131.52002,11/7/16
2016-11-04,2083.790039,2099.070068,2083.790039,2085.179932,11/4/16
2016-11-03,2098.800049,2102.560059,2085.22998,2088.659912,11/3/16
2016-11-02,2109.429932,2111.76001,2094,2097.939941,11/2/16
2016-11-01,2128.679932,2131.449951,2097.850098,2111.719971,11/1/16
2016-10-31,2129.780029,2133.25,2125.530029,2126.149902,10/31/16
2016-10-28,2132.22998,2140.719971,2119.360107,2126.409912,10/28/16
2016-10-27,2144.060059,2147.129883,2132.52002,2133.040039,10/27/16
2016-10-26,2136.969971,2145.72998,2131.590088,2139.429932,10/26/16
2016-10-25,2149.719971,2151.439941,2141.929932,2143.159912,10/25/16
2016-10-24,2148.5,2154.790039,2146.909912,2151.330078,10/24/16
2016-10-21,2139.429932,2142.629883,2130.090088,2141.159912,10/21/16
2016-10-20,2142.51001,2147.179932,2133.439941,2141.340088,10/20/16
2016-10-19,2140.810059,2148.439941,2138.149902,2144.290039,10/19/16
2016-10-18,2138.310059,2144.379883,2135.48999,2139.600098,10/18/16
2016-10-17,2132.949951,2135.610107,2124.429932,2126.5,10/17/16
2016-10-14,2139.679932,2149.189941,2132.97998,2132.97998,10/14/16
2016-10-13,2130.26001,2138.189941,2114.719971,2132.550049,10/13/16
2016-10-12,2137.669922,2145.360107,2132.77002,2139.179932,10/12/16
2016-10-11,2161.350098,2161.560059,2128.840088,2136.72998,10/11/16
2016-10-10,2160.389893,2169.600098,2160.389893,2163.659912,10/10/16
2016-10-07,2164.189941,2165.860107,2144.850098,2153.73999,10/7/16
2016-10-06,2158.219971,2162.929932,2150.280029,2160.77002,10/6/16
2016-10-05,2155.149902,2163.949951,2155.149902,2159.72998,10/5/16
2016-10-04,2163.370117,2165.459961,2144.01001,2150.48999,10/4/16
2016-10-03,2164.330078,2164.409912,2154.77002,2161.199951,10/3/16
2016-09-30,2156.51001,2175.300049,2156.51001,2168.27002,9/30/16
2016-09-29,2168.899902,2172.669922,2145.199951,2151.129883,9/29/16
2016-09-28,2161.850098,2172.399902,2151.790039,2171.370117,9/28/16
2016-09-27,2146.040039,2161.129883,2141.550049,2159.929932,9/27/16
2016-09-26,2158.540039,2158.540039,2145.040039,2146.100098,9/26/16
2016-09-23,2173.290039,2173.75,2163.969971,2164.689941,9/23/16
2016-09-22,2170.939941,2179.98999,2170.939941,2177.179932,9/22/16
2016-09-21,2144.580078,2165.110107,2139.570068,2163.120117,9/21/16
2016-09-20,2145.939941,2150.800049,2139.169922,2139.76001,9/20/16
2016-09-19,2143.98999,2153.610107,2135.909912,2139.120117,9/19/16
2016-09-16,2146.47998,2146.47998,2131.199951,2139.159912,9/16/16
2016-09-15,2125.360107,2151.310059,2122.360107,2147.26001,9/15/16
2016-09-14,2127.860107,2141.330078,2119.899902,2125.77002,9/14/16
2016-09-13,2150.469971,2150.469971,2120.27002,2127.02002,9/13/16
2016-09-12,2120.860107,2163.300049,2119.120117,2159.040039,9/12/16
2016-09-09,2169.080078,2169.080078,2127.810059,2127.810059,9/9/16
2016-09-08,2182.76001,2184.939941,2177.48999,2181.300049,9/8/16
2016-09-07,2185.169922,2187.870117,2179.070068,2186.159912,9/7/16
2016-09-06,2181.610107,2186.570068,2175.100098,2186.47998,9/6/16
2016-09-02,2177.48999,2184.870117,2173.590088,2179.97998,9/2/16
2016-09-01,2171.330078,2173.560059,2157.090088,2170.860107,9/1/16
2016-08-31,2173.560059,2173.790039,2161.350098,2170.949951,8/31/16
2016-08-30,2179.449951,2182.27002,2170.409912,2176.120117,8/30/16
2016-08-29,2170.189941,2183.47998,2170.189941,2180.379883,8/29/16
2016-08-26,2175.100098,2187.939941,2160.389893,2169.040039,8/26/16
2016-08-25,2173.290039,2179,2169.73999,2172.469971,8/25/16
2016-08-24,2185.090088,2186.659912,2171.25,2175.439941,8/24/16
2016-08-23,2187.810059,2193.419922,2186.800049,2186.899902,8/23/16
2016-08-22,2181.580078,2185.149902,2175.959961,2182.639893,8/22/16
2016-08-19,2184.23999,2185,2175.129883,2183.870117,8/19/16
2016-08-18,2181.899902,2187.030029,2180.459961,2187.02002,8/18/16
2016-08-17,2177.840088,2183.080078,2168.5,2182.219971,8/17/16
2016-08-16,2186.23999,2186.23999,2178.139893,2178.149902,8/16/16
2016-08-15,2186.080078,2193.810059,2186.080078,2190.149902,8/15/16
2016-08-12,2183.73999,2186.280029,2179.419922,2184.050049,8/12/16
2016-08-11,2177.969971,2188.449951,2177.969971,2185.790039,8/11/16
2016-08-10,2182.810059,2183.409912,2172,2175.48999,8/10/16
2016-08-09,2182.23999,2187.659912,2178.610107,2181.73999,8/9/16
2016-08-08,2183.76001,2185.439941,2177.850098,2180.889893,8/8/16
2016-08-05,2168.790039,2182.870117,2168.790039,2182.870117,8/5/16
2016-08-04,2163.51001,2168.189941,2159.070068,2164.25,8/4/16
2016-08-03,2156.810059,2163.790039,2152.560059,2163.790039,8/3/16
2016-08-02,2169.939941,2170.199951,2147.580078,2157.030029,8/2/16
2016-08-01,2173.149902,2178.290039,2166.209961,2170.840088,8/1/16
2016-07-29,2168.830078,2177.090088,2163.48999,2173.600098,7/29/16
2016-07-28,2166.050049,2172.850098,2159.73999,2170.060059,7/28/16
2016-07-27,2169.810059,2174.97998,2159.070068,2166.580078,7/27/16
2016-07-26,2168.969971,2173.540039,2160.179932,2169.179932,7/26/16
2016-07-25,2173.709961,2173.709961,2161.949951,2168.47998,7/25/16
2016-07-22,2166.469971,2175.110107,2163.23999,2175.030029,7/22/16
2016-07-21,2172.909912,2174.560059,2159.75,2165.169922,7/21/16
2016-07-20,2166.100098,2175.629883,2164.889893,2173.02002,7/20/16
2016-07-19,2163.790039,2164.629883,2159.01001,2163.780029,7/19/16
2016-07-18,2162.040039,2168.350098,2159.629883,2166.889893,7/18/16
2016-07-15,2165.129883,2169.050049,2155.790039,2161.73999,7/15/16
2016-07-14,2157.879883,2168.98999,2157.879883,2163.75,7/14/16
2016-07-13,2153.810059,2156.449951,2146.209961,2152.429932,7/13/16
2016-07-12,2139.5,2155.399902,2139.5,2152.139893,7/12/16
2016-07-11,2131.719971,2143.159912,2131.719971,2137.159912,7/11/16
2016-07-08,2106.969971,2131.709961,2106.969971,2129.899902,7/8/16
2016-07-07,2100.419922,2109.080078,2089.389893,2097.899902,7/7/16
2016-07-06,2084.429932,2100.719971,2074.02002,2099.72998,7/6/16
2016-07-05,2095.050049,2095.050049,2080.860107,2088.550049,7/5/16
2016-07-01,2099.340088,2108.709961,2097.899902,2102.949951,7/1/16
2016-06-30,2073.169922,2098.939941,2070,2098.860107,6/30/16
2016-06-29,2042.689941,2073.129883,2042.689941,2070.77002,6/29/16
2016-06-28,2006.670044,2036.089966,2006.670044,2036.089966,6/28/16
2016-06-27,2031.449951,2031.449951,1991.680054,2000.540039,6/27/16
2016-06-24,2103.810059,2103.810059,2032.569946,2037.410034,6/24/16
2016-06-23,2092.800049,2113.320068,2092.800049,2113.320068,6/23/16
2016-06-22,2089.75,2099.709961,2084.360107,2085.449951,6/22/16
2016-06-21,2085.189941,2093.659912,2083.02002,2088.899902,6/21/16
2016-06-20,2075.580078,2100.659912,2075.580078,2083.25,6/20/16
2016-06-17,2078.199951,2078.199951,2062.840088,2071.219971,6/17/16
2016-06-16,2066.360107,2079.620117,2050.370117,2077.98999,6/16/16
2016-06-15,2077.600098,2085.649902,2069.800049,2071.5,6/15/16
2016-06-14,2076.649902,2081.300049,2064.100098,2075.320068,6/14/16
2016-06-13,2091.75,2098.120117,2078.459961,2079.060059,6/13/16
